Hard,10,Beatap Team,142,85,easy
,,,,,
START,,,,,
4,4,16,,,
0,0,0,0,1,
0,0,0,0,0,
0,0,0,0,0,
1,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,1,0,
0,0,0,0,0,
0,1,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,1,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
4,4,8,,,
0,0,0,0,0,
0,0,1,0,0,
0,0,0,1,0,
0,0,0,0,1,
1,0,0,0,0,
0,1,0,0,0,
0,0,1,0,0,
0,0,0,1,0,
4,4,16,,,
0,0,0,0,1,
0,0,0,0,0,
0,0,0,0,0,
1,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,1,0,
0,0,0,0,0,
0,1,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,1,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
4,4,16,,,
0,0,2,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,2,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,1,0,
0,1,0,0,0,
0,0,0,1,0,
1,0,0,0,0,
0,0,0,0,1,
0,1,0,0,0,
0,0,0,1,0,
4,4,16,,,
0,0,0,0,2,
0,0,0,0,0,
0,0,0,0,0,
2,0,0,0,2,
0,0,0,0,0,
0,0,0,0,0,
2,0,0,2,0,
0,0,0,0,0,
0,2,0,2,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,2,2,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
4,4,4,,,
2,0,2,0,2,
0,0,0,0,0,
0,0,0,0,0,
2,0,0,0,2,
4,4,16,,,
0,0,1,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,1,0,
0,0,0,0,0,
0,0,0,0,0,
0,1,0,0,0,
0,0,0,0,0,
0,0,0,0,1,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
1,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
4,4,16,,,
0,0,3,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,3,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,3,0,0,
0,0,0,0,0,
0,0,0,1,0,
0,1,0,0,0,
0,0,0,1,0,
0,0,0,0,0,
0,1,0,0,0,
0,0,0,0,0,
4,4,16,,,
0,0,3,0,0,
0,0,0,0,0,
0,0,0,0,1,
0,0,0,1,0,
0,0,1,0,0,
0,0,0,0,0,
1,0,0,0,0,
0,1,0,0,0,
0,0,1,0,0,
0,0,0,0,0,
0,0,0,0,1,
0,0,0,1,0,
0,0,1,0,0,
0,0,0,0,0,
1,0,0,0,0,
0,1,0,0,0,
4,4,16,,,
0,0,2,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,2,0,2,
0,0,0,0,0,
0,0,0,0,0,
2,0,0,0,2,
0,0,0,0,0,
2,0,2,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,1,2,1,0,
0,0,0,0,0,
1,0,0,0,1,
0,0,0,0,0,
4,4,16,,,
0,0,3,0,0,
0,0,0,0,0,
0,0,0,1,0,
0,1,0,0,0,
0,0,0,0,0,
0,0,0,1,0,
0,1,0,0,0,
0,0,0,0,0,
0,0,3,0,0,
0,0,0,0,0,
0,1,0,0,0,
0,0,0,1,0,
0,0,0,0,0,
0,1,0,0,0,
0,0,0,1,0,
0,0,0,0,0,
4,4,16,,,
0,3,0,3,0,
0,0,0,0,0,
0,0,0,0,0,
0,3,0,3,0,
0,0,0,0,0,
0,0,0,0,0,
3,0,0,0,3,
0,0,0,0,0,
3,0,0,0,3,
0,0,0,0,0,
0,0,1,0,0,
0,0,1,0,0,
0,0,1,0,0,
0,0,1,0,0,
0,0,1,0,0,
0,0,0,0,0,
4,4,16,,,
0,3,0,0,0,
0,0,0,0,0,
1,0,0,0,0,
0,0,1,0,0,
0,0,0,0,0,
1,0,0,0,0,
0,0,1,0,0,
0,0,0,0,0,
0,0,0,3,0,
0,0,0,0,0,
0,0,0,0,1,
0,0,1,0,0,
0,0,0,0,0,
0,0,0,0,1,
0,0,1,0,0,
0,0,0,0,0,
4,4,16,,,
0,0,3,0,0,
0,0,0,0,0,
1,0,0,0,0,
0,1,0,0,0,
0,0,0,0,0,
0,0,0,0,1,
0,0,0,1,0,
0,0,0,0,0,
0,0,2,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,2,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
4,4,16,,,
2,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,2,
0,0,0,0,0,
0,0,0,0,0,
0,2,0,0,0,
0,0,0,0,0,
0,0,0,2,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,2,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
4,4,16,,,
2,0,0,0,2,
0,0,0,0,0,
0,0,0,0,0,
0,2,0,2,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,2,0,0,
0,0,0,0,0,
1,0,0,0,1,
0,0,0,0,0,
0,0,3,0,0,
0,0,0,0,0,
0,3,0,3,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
4,4,16,,,
0,0,3,0,0,
0,0,0,0,0,
0,0,0,0,1,
0,1,0,0,0,
0,0,1,0,0,
0,0,0,0,0,
1,0,0,0,0,
0,0,0,1,0,
0,0,1,0,0,
0,0,0,0,0,
0,0,0,0,1,
0,1,0,0,0,
0,0,1,0,0,
0,0,0,0,0,
1,0,0,0,0,
0,0,0,1,0,
4,4,16,,,
0,0,3,0,0,
0,0,0,0,0,
0,1,0,1,0,
1,0,0,0,1,
0,0,0,0,0,
0,1,0,1,0,
1,0,0,0,1,
0,0,0,0,0,
0,0,2,0,0,
0,0,0,0,0,
0,1,0,0,0,
0,0,0,1,0,
0,1,2,0,0,
0,0,0,0,0,
0,0,0,1,0,
0,1,0,0,0,
4,4,16,,,
2,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,2,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,2,0,0,
0,0,0,0,0,
2,2,2,0,2,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,2,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,2,0,0,
0,0,0,0,0,
4,4,16,,,
2,0,2,2,2,
0,0,0,0,0,
0,0,0,0,0,
0,2,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,2,
0,0,0,0,0,
0,0,0,2,0,
0,0,0,0,0,
0,0,1,0,0,
0,0,1,0,0,
0,0,1,0,0,
0,0,0,0,0,
2,2,3,2,2,
0,0,0,0,0,
4,4,16,0,0,
1,0,0,0,0,
0,0,0,0,0,
0,1,0,0,0,
1,0,0,0,0,
0,0,0,0,0,
0,1,0,0,0,
1,0,0,0,0,
0,0,0,0,0,
0,0,0,0,1,
0,0,0,0,0,
0,0,0,1,0,
0,0,0,0,1,
0,0,0,0,0,
0,0,0,1,0,
0,0,0,0,1,
0,0,0,0,0,
4,4,16,,,
0,1,0,1,0,
0,0,0,0,0,
0,0,1,0,0,
0,1,0,1,0,
0,0,0,0,0,
0,0,1,0,0,
0,1,0,1,0,
0,0,0,0,0,
3,0,2,0,3,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,2,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
4,4,16,0,0,
2,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,2,
0,0,0,0,0,
0,0,0,0,0,
0,2,0,0,0,
0,0,0,0,0,
0,0,0,2,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
2,2,0,2,2,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
4,4,16,,,
0,0,2,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,2,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
END,,,,,
